waste_type,avail_resp_short,n
residual,cb,39
residual,ebw,2
organic,cb,2
organic,ebw,7
organic,wl,27
organic,nu,8
pet,cb,36
pet,ebw,6
pet,wl,2
plastics,cb,2
plastics,ebw,3
plastics,wl,33
plastics,nu,6
paper,cb,23
paper,ebw,7
paper,wl,11
paper,nu,3
alu_cans,cb,32
alu_cans,ebw,5
alu_cans,wl,5
alu_cans,nu,2
glass,cb,12
glass,ebw,9
glass,wl,16
glass,nu,7
batteries,cb,9
batteries,ebw,6
batteries,wl,15
batteries,nu,13
electronic,cb,8
electronic,ebw,7
electronic,wl,16
electronic,nu,11
storage_media,cb,6
storage_media,ebw,2
storage_media,wl,15
storage_media,nu,18
metal,cb,4
metal,ebw,5
metal,wl,15
metal,nu,17
wood,cb,3
wood,ebw,6
wood,wl,18
wood,nu,15
liquids,cb,1
liquids,ebw,2
liquids,wl,18
liquids,nu,19
cartridges,ebw,2
cartridges,wl,16
cartridges,nu,23
coffee_capsules,cb,3
coffee_capsules,ebw,2
coffee_capsules,wl,16
coffee_capsules,nu,21
textiles,cb,3
textiles,ebw,1
textiles,wl,19
textiles,nu,19
