id,institution,level_of_studies,main_campus,waste_type,avail_resp_short,avail_resp_long,wtw_resp_short,wtw_resp_long,wtw_resp_nr
1,ETH Zurich,MSc,ETH Zentrum,organic,wl,I do not know of any but I would like for it to be available.,cr,In the room I am currently in,0
1,ETH Zurich,MSc,ETH Zentrum,pet,cb,I know where a bin is located nearby.,oc,"Off campus (e.g., to municipal collections)",5
1,ETH Zurich,MSc,ETH Zentrum,plastics,wl,I do not know of any but I would like for it to be available.,sb,Within the same building,1
1,ETH Zurich,MSc,ETH Zentrum,paper,cb,I know where a bin is located nearby.,sb,Within the same building,1
1,ETH Zurich,MSc,ETH Zentrum,alu_cans,cb,I know where a bin is located nearby.,oc,"Off campus (e.g., to municipal collections)",5
1,ETH Zurich,MSc,ETH Zentrum,glass,ebw,I know it exists but I am not sure where.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,batteries,cb,I know where a bin is located nearby.,oc,"Off campus (e.g., to municipal collections)",5
1,ETH Zurich,MSc,ETH Zentrum,electronic,cb,I know where a bin is located nearby.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,storage_media,cb,I know where a bin is located nearby.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,metal,cb,I know where a bin is located nearby.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,wood,ebw,I know it exists but I am not sure where.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,liquids,ebw,I know it exists but I am not sure where.,ac,Anywhere on the campus,4
1,ETH Zurich,MSc,ETH Zentrum,cartridges,ebw,I know it exists but I am not sure where.,ac,Anywhere on the campus,4
2,Other,MSc,Other,organic,wl,I do not know of any but I would like for it to be available.,cr,In the room I am currently in,0
2,Other,MSc,Other,pet,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,plastics,wl,I do not know of any but I would like for it to be available.,nb,The building next door,2
2,Other,MSc,Other,paper,cb,I know where a bin is located nearby.,sb,Within the same building,1
2,Other,MSc,Other,alu_cans,wl,I do not know of any but I would like for it to be available.,nb,The building next door,2
2,Other,MSc,Other,glass,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,batteries,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,electronic,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,storage_media,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,metal,wl,I do not know of any but I would like for it to be available.,ac,Anywhere on the campus,4
2,Other,MSc,Other,wood,wl,I do not know of any but I would like for it to be available.,cr,In the room I am currently in,0
2,Other,MSc,Other,liquids,wl,I do not know of any but I would like for it to be available.,sb,Within the same building,1
2,Other,MSc,Other,cartridges,wl,I do not know of any but I would like for it to be available.,nb,The building next door,2
