waste_type,total_answers,known_percent,unknown_percent,unused_percent
residual,41,95.1219512195122,4.878048780487805,0
organic,44,4.545454545454546,77.27272727272727,18.181818181818183
pet,44,81.81818181818183,18.181818181818183,0
plastics,44,4.545454545454546,81.81818181818183,13.636363636363635
paper,44,52.27272727272727,40.909090909090914,6.8181818181818175
alu_cans,44,72.72727272727273,22.727272727272727,4.545454545454546
glass,44,27.27272727272727,56.81818181818182,15.909090909090908
batteries,43,20.930232558139537,48.837209302325576,30.23255813953488
electronic,42,19.047619047619047,54.761904761904766,26.190476190476193
storage_media,41,14.634146341463413,41.46341463414634,43.90243902439025
metal,41,9.75609756097561,48.78048780487805,41.46341463414634
wood,42,7.142857142857142,57.14285714285714,35.714285714285715
liquids,40,2.5,50,47.5
cartridges,41,0,43.90243902439025,56.09756097560976
coffee_capsules,42,7.142857142857142,42.857142857142854,50
textiles,42,7.142857142857142,47.61904761904761,45.23809523809524
